FACT-1: The dog chases the lion.
RULE-1: If someone chases the bald eagle then they eat the bald eagle.
RULE-2: If someone needs the dog and they are green then the dog chases the lion.
INF-1: The dog chases the lion implies the dog needs the lion.
INF-2: The dog needs the lion.
INF-3: The dog chases the lion implies the lion needs the dog.
INF-4: The lion needs the dog implies the lion chases the dog.
INF-5: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-6: The dog chases the lion implies the lion needs the dog (from rule).
INF-7: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-8: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-9: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-10: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-11: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-12: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-13: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-14: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-15: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-16: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-17: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-18: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-19: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-20: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-21: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-22: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-23: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-24: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-25: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-26: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-27: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-28: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-29: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-30: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-31: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-32: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-33: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-34: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-35: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-36: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-37: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-38: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-39: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-40: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-41: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-42: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-43: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-44: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-45: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-46: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-47: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-48: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-49: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-50: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-51: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-52: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-53: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-54: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-55: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-56: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-57: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-58: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-59: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-60: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-61: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-62: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-63: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-64: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-65: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-66: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-67: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-68: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-69: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-70: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-71: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-72: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-73: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-74: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-75: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-76: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-77: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-78: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-79: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-80: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-81: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-82: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-83: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-84: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-85: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-86: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-87: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-88: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-89: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-90: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-91: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-92: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-93: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-94: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-95: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-96: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-97: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-98: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-99: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-100: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-101: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-102: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-103: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-104: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-105: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-106: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-107: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-108: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-109: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-110: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-111: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-112: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-113: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-114: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-115: The dog chases the lion implies the dog chases the lion again (redundant but necessary).
INF-116: The dog chases the lion implies the dog ch
